Código,Disciplina,Semestre,Trimestre,Curso,Matriz
N681,Desafios do Ciberespaço,1,A,Inteligência de Negócios,Antiga
N682,Fundamentos de Sistemas Computacionais,1,A,Inteligência de Negócios,Antiga
G405,Inteligência de Negócios,1,A,Inteligência de Negócios,Antiga
G412,Gestão Processos de Negócios,1,B,Inteligência de Negócios,Antiga
N683,Raciocínio Lógico e Algorítmico,1,B,Inteligência de Negócios,Antiga
G411,Cenário Econômicos e Empresariais,1,B,Inteligência de Negócios,Antiga
G418,Análise Descritiva de Dados,2,A,Inteligência de Negócios,Antiga
G701,Programação para Analítica de Negócios,2,A,Inteligência de Negócios,Antiga
G408,Administração e Organizações,2,A,Inteligência de Negócios,Antiga
G445,Ciências de Dados Aplicado à Gestão,2,B,Inteligência de Negócios,Antiga
G702,Estrutura de Dados em Analítica,2,B,Inteligência de Negócios,Antiga
G440,Marketing Contemporâneo,2,B,Inteligência de Negócios,Antiga
G432,Análise Multivariada de Dados,3,A,Inteligência de Negócios,Antiga
G429,Gestão de Operações,3,A,Inteligência de Negócios,Antiga
G704,Visualização de Dados para Tomada de Decisões,3,A,Inteligência de Negócios,Antiga
G431,Big Data em Negócios,3,B,Inteligência de Negócios,Antiga
G410,Contabilidade e Negócios,3,B,Inteligência de Negócios,Antiga
G369,Gestão Estratégica de Pessoas,3,B,Inteligência de Negócios,Antiga
G705,Processos de Preparação de Dados,4,A,Inteligência de Negócios,Antiga
G419,Estratégia Empresarial,4,A,Inteligência de Negócios,Antiga
G420,Avaliação Financeira de Empresas e Projetos,4,A,Inteligência de Negócios,Antiga
G434,Compliance e Gestão de Risco,4,B,Inteligência de Negócios,Antiga
G706,Análise de Dados não Estruturados em Gestão,4,B,Inteligência de Negócios,Antiga
G438,Mercado e Consumidor,4,B,Inteligência de Negócios,Antiga
G406,Inovação e Negócios Criativos,5,A,Inteligência de Negócios,Antiga
G707,Tópicos em Mineração e Inteligência Artificial,5,A,Inteligência de Negócios,Antiga
G709,Inteligência Analítica de Negócios,5,A,Inteligência de Negócios,Antiga
G708,Storytelling de Dados,5,B,Inteligência de Negócios,Antiga
G452,Liderança e Gestão,5,B,Inteligência de Negócios,Antiga
G427,Marketing Digital,5,B,Inteligência de Negócios,Antiga
G400,Economia da Inovação,1,A,Marketing digital,Antiga
G435,Gestão de Mídias Digitais,1,A,Marketing digital,Antiga
G405,Inteligência de Negócios,1,A,Marketing digital,Antiga
G403,Dinâmicas do Empreendedorismo,1,B,Marketing digital,Antiga
G437,Branding,1,B,Marketing digital,Antiga
G436,Design e Processos Gráficos,1,B,Marketing digital,Antiga
G406,Inovação e Negócios Criativos,2,A,Marketing digital,Antiga
G407,Matemática para Empreendedores,2,A,Marketing digital,Antiga
G408,Administração e Organizações,2,A,Marketing digital,Antiga
G409,Ética e Negócios,2,B,Marketing digital,Antiga
G438,Mercado e Consumidor,2,B,Marketing digital,Antiga
G427,Marketing Digital,2,B,Marketing digital,Antiga
G439,Comunicação e Inovação,3,A,Marketing digital,Antiga
G401,Negociação Estratégica,3,A,Marketing digital,Antiga
G441,Marketing de Conteúdo,3,A,Marketing digital,Antiga
G431,Big Data em Negócios,5,B,Marketing digital,Antiga
G416,Custos e Formação de Preços,3,B,Marketing digital,Antiga
G440,Marketing Contemporâneo,3,B,Marketing digital,Antiga
G442,Gestão de Produtos,4,A,Marketing digital,Antiga
G443,Métricas de Marketing,4,A,Marketing digital,Antiga
G444,Omnichannel e Trade Marketing,4,A,Marketing digital,Antiga
G445,Ciências de Dados Aplicado à Gestão,4,B,Marketing digital,Antiga
G446,Antropologia do Consumo e Neuromarketing,4,B,Marketing digital,Antiga
G447,Marketing de Relacionamento,4,B,Marketing digital,Antiga
G400,Economia da Inovação,1,A,Gestão Financeira,Antiga
G401,Negociação Estratégica,1,A,Gestão Financeira,Antiga
