Código,Disciplina,Semestre,Trimestre,Curso,Matriz
N682,Fundamentos de Sistemas Computacionais,1,A,Inteligência Artificial,Nova
N680,Matemática para Computação,1,A,Inteligência Artificial,Nova
N683,Raciocínio Lógico e Algorítmico,1,B,Inteligência Artificial,Nova
N685,Programação Orientada a Objetos,1,B,Inteligência Artificial,Nova
N692,Estrutura de Dados,3,A,Inteligência Artificial,Nova
F057,Estatísticas e Processamento de Dados,3,A,Inteligência Artificial,Nova
F059,Modelagem Matemática,3,A,Inteligência Artificial,Nova
N688,Ambiente de Dados,3,B,Inteligência Artificial,Nova
F090,Ideação para Soluções Computacionais,3,B,Inteligência Artificial,Nova
N682,Fundamentos de Sistemas Computacionais,1,A,Análise e desenvolvimento de sistemas,Nova
N680,Matemática para Computação,1,A,Análise e desenvolvimento de sistemas,Nova
N683,Raciocínio Lógico e Algorítmico,1,B,Análise e desenvolvimento de sistemas,Nova
N685,Programação Orientada a Objetos,1,B,Análise e desenvolvimento de sistemas,Nova
N692,Estrutura de Dados,3,A,Análise e desenvolvimento de sistemas,Nova
N679,Interação Humano Computador,3,A,Análise e desenvolvimento de sistemas,Nova
N689,Requisitos e Modelagem de Sistemas,3,A,Análise e desenvolvimento de sistemas,Nova
N688,Ambiente de Dados,3,B,Análise e desenvolvimento de sistemas,Nova
F090,Ideação para Soluções Computacionais,3,B,Análise e desenvolvimento de sistemas,Nova
G401,Negociação Estratégica,1,A,Inteligência de negócios,Nova
G704,Visualização de Dados para Tomada de Decisões,1,A,Inteligência de negócios,Nova
G427,Marketing Digital,1,B,Inteligência de negócios,Nova
G405,Inteligência de Negócios,1,B,Inteligência de negócios,Nova
G413,Matemática Financeira,3,A,Inteligência de negócios,Nova
G429,Gestão de Operações,3,A,Inteligência de negócios,Nova
G701,Programação para Analítica de Negócios,3,A,Inteligência de negócios,Nova
G702,Estrutura de Dados em Analítica,3,B,Inteligência de negócios,Nova
G747,Dados e Tomada de Decisão,3,B,Inteligência de negócios,Nova
G401,Negociação Estratégica,1,A,Gestão comercial,Nova
G416,Custos e Formação de Preços,1,A,Gestão comercial,Nova
G371,Supply Chain e Liderança Logística,1,B,Gestão comercial,Nova
G452,Liderança e Gestão,1,B,Gestão comercial,Nova
G429,Gestão de Operações,3,A,Gestão comercial,Nova
G413,Matemática Financeira,3,A,Gestão comercial,Nova
G755,Tendências no Varejo,3,A,Gestão comercial,Nova
G427,Marketing Digital,3,B,Gestão comercial,Nova
G747,Dados e Tomada de Decisão,3,B,Gestão comercial,Nova
G435,Gestão de Mídias Digitais,1,A,Marketing Digital,Nova
G436,Design e Processos Gráficos,1,A,Marketing Digital,Nova
G427,Marketing Digital,1,B,Marketing Digital,Nova
G405,Inteligência de Negócios,1,B,Marketing Digital,Nova
G401,Negociação Estratégica,3,A,Marketing Digital,Nova
G441,Marketing de Conteúdo,3,A,Marketing Digital,Nova
G416,Custos e Formação de Preços,3,A,Marketing Digital,Nova
G440,Marketing Contemporâneo,3,B,Marketing Digital,Nova
G747,Dados e Tomada de Decisão,3,B,Marketing Digital,Nova
G414,Estrutura e Análise de Demonstrações Contábeis,1,A,Gestão Financeira,Nova
G404,Direito Empresarial,1,A,Gestão Financeira,Nova
G427,Marketing Digital,1,B,Gestão Financeira,Nova
G405,Inteligência de Negócios,1,B,Gestão Financeira,Nova
G417,Mercado de Capitais no Contexto Global,3,A,Gestão Financeira,Nova
G413,Matemática Financeira,3,A,Gestão Financeira,Nova
G416,Custos e Formação de Preços,3,A,Gestão Financeira,Nova
G402,Controladoria e Orçamento,3,B,Gestão Financeira,Nova
G747,Dados e Tomada de Decisão,3,B,Gestão Financeira,Nova
G401,Negociação Estratégica,1,A,Ciências Contábeis,Nova
G404,Direito Empresarial,1,A,Ciências Contábeis,Nova
G427,Marketing Digital,1,B,Ciências Contábeis,Nova
G405,Inteligência de Negócios,1,B,Ciências Contábeis,Nova
G428,Contabilidade Geral Aplicada,3,A,Ciências Contábeis,Nova
G413,Matemática Financeira,3,A,Ciências Contábeis,Nova
G416,Custos e Formação de Preços,3,A,Ciências Contábeis,Nova
G370,Contabilidade Intermediária,3,B,Ciências Contábeis,Nova
G747,Dados e Tomada de Decisão,3,B,Ciências Contábeis,Nova
G401,Negociação Estratégica,1,A,Administração,Nova
G404,Direito Empresarial,1,A,Administração,Nova
G427,Marketing Digital,1,B,Administração,Nova
G405,Inteligência de Negócios,1,B,Administração,Nova
G429,Gestão de Operações,3,A,Administração,Nova
G413,Matemática Financeira,3,A,Administração,Nova
G416,Custos e Formação de Preços,3,A,Administração,Nova
G440,Marketing Contemporâneo,3,B,Administração,Nova
G410,Dados e Tomada de Decisão,3,B,Administração,Nova
G401,Negociação Estratégica,1,A,Logística,Nova
G429,Gestão de Operações,1,A,Logística,Nova
G371,Supply Chain e Liderança Logística,1,B,Logística,Nova
G440,Marketing Contemporâneo,1,B,Logística,Nova
G760,Gestão de Custos Logísticos,3,A,Logística,Nova
G761,Logística Global e Comércio Exterior,3,A,Logística,Nova
G762,Infraestrutura e Modais de Transporte,3,A,Logística,Nova
G452,Liderança e Gestão,3,B,Logística,Nova
G747,Dados e Tomada de Decisão,3,B,Logística,Nova
G401,Negociação Estratégica,1,A,Recursos Humanos,Nova
G451,Processos e Estruturas da Gestão de Pessoas,1,A,Recursos Humanos,Nova
G452,Liderança e Gestão,1,B,Recursos Humanos,Nova
G405,Inteligência de Negócios,1,B,Recursos Humanos,Nova
G459,Consultoria em Gestão de Pessoas,3,A,Recursos Humanos,Nova
G744,Dinâmicas de Grupo e Trabalho em Equipe,3,A,Recursos Humanos,Nova
G745,Gestão de Carreira e Desenvolvimento,3,A,Recursos Humanos,Nova
